,<http://xmlns.com/foaf/0.1/made>,<http://xmlns.com/foaf/0.1/page>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://data.linkedmdb.org/resource/movie/director_name>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://data.linkedmdb.org/resource/movie/director>,<http://data.linkedmdb.org/resource/movie/director_directorid>
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/64122>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/43099>,X,,,,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://xmlns.com/foaf/0.1/Person>,,,,,X,,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/46058>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/45707>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/22494>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/23877>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/22494>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/46161>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/49262>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/85702>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/43047>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/64450>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/64450>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/4901>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/2661>,X,,,,,X,
<http://xmlns.com/foaf/0.1/page>:-:<http://www.freebase.com/view/guid/9202a8c04000641f80000000000ac6c9>,,X,,,,,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/23877>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/43099>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/85702>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/39853>,X,,,,,X,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Ringo Lam (Director)""",,,X,X,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://data.linkedmdb.org/resource/movie/director>,,,,,X,,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/4901>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/45707>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/43047>,X,,,,,X,
"<http://data.linkedmdb.org/resource/movie/director_name>:-:""Ringo Lam""",,,X,X,,,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/49262>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/39853>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/64122>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/46058>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/46161>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/15228>,X,,,,,X,
"<http://data.linkedmdb.org/resource/movie/director_directorid>:-:""8669""^^<http://www.w3.org/2001/XMLSchema#int>",,,,,,,X
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/2661>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/15228>,X,,,,,X,
