,<http://xmlns.com/foaf/0.1/page>,<http://data.linkedmdb.org/resource/movie/actor_nytimes_id>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://data.linkedmdb.org/resource/movie/actor>,<http://data.linkedmdb.org/resource/movie/actor_name>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://data.linkedmdb.org/resource/movie/actor_actorid>,<http://data.linkedmdb.org/resource/movie/actor_netflix_id>,<http://data.linkedmdb.org/resource/movie/performance>
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/152814>,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/152807>,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/film/75094>,,,,X,,,,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/152803>,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/film/75088>,,,,X,,,,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/152820>,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/152822>,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/152816>,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/film/75106>,,,,X,,,,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/152810>,,,,,,,,,X
"<http://data.linkedmdb.org/resource/movie/actor_actorid>:-:""32500""^^<http://www.w3.org/2001/XMLSchema#int>",,,,,,,X,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/film/75098>,,,,X,,,,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/152802>,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/152812>,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/film/75102>,,,,X,,,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/film/75100>,,,,X,,,,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Byron Long (Actor)""",,,X,,X,X,,,
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/film/75090>,,,,X,,,,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/152819>,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/film/75096>,,,,X,,,,,
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/152809>,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/performance>:-:<http://data.linkedmdb.org/resource/performance/152804>,,,,,,,,,X
<http://data.linkedmdb.org/resource/movie/actor>:-:<http://data.linkedmdb.org/resource/film/75092>,,,,X,,,,,
