,<http://dbpedia.org/ontology/phylum>,<http://dbpedia.org/ontology/genus>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://dbpedia.org/ontology/kingdom>,<http://dbpedia.org/ontology/synonym>,<http://purl.org/dc/terms/subject>,<http://dbpedia.org/ontology/order>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://xmlns.com/foaf/0.1/name>,<http://dbpedia.org/ontology/family>,<http://dbpedia.org/ontology/class>
"<http://dbpedia.org/ontology/synonym>:-:""*Gelechia cinerosella (Tengström, 1848)""",,,,,X,X,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Insects_of_Europe>,,,,,,X,,X,,,X
"<http://dbpedia.org/ontology/synonym>:-:""*Bryotropha brevipalpella (Rebel, 1893)""",,X,X,,X,X,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Species>,,,,,,,,X,,,
"<http://dbpedia.org/ontology/synonym>:-:""*Gelechia plantariella (Tengström, 1848)""",,,X,,X,X,,,X,,
<http://dbpedia.org/ontology/family>:-:<http://dbpedia.org/resource/Gelechiidae>,,,,,,,,,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Eukaryote>,,,,,,,,X,,,
"<http://xmlns.com/foaf/0.1/name>:-:""Bryotropha plantariella""@en",,X,X,,X,X,,,X,,
"<http://dbpedia.org/ontology/synonym>:-:""*Gelechia serrulatella (Tengström, 1848)""",,,,,X,X,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Moths_described_in_1848>,,,,,,X,,,,,
<http://dbpedia.org/ontology/kingdom>:-:<http://dbpedia.org/resource/Animal>,,,,X,,,,X,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Bryotropha>,,X,X,,,X,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Animal>,,,,X,,,,X,,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Bryotropha plantariella""@en",,X,X,,X,X,,,X,,
<http://dbpedia.org/ontology/order>:-:<http://dbpedia.org/resource/Lepidoptera>,,,,,,,X,,,,
<http://dbpedia.org/ontology/class>:-:<http://dbpedia.org/resource/Insect>,,,,,,X,,X,,,X
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Insect>,,,,,,X,,X,,,X
<http://dbpedia.org/ontology/phylum>:-:<http://dbpedia.org/resource/Arthropod>,X,,,,,,,,,,
<http://dbpedia.org/ontology/genus>:-:<http://dbpedia.org/resource/Bryotropha>,,X,X,,,X,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,,,,,,X,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q1390>,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q729>,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q19088>,,,,,,,,X,,,
