,<http://xmlns.com/foaf/0.1/made>,<http://xmlns.com/foaf/0.1/page>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://data.linkedmdb.org/resource/movie/director_directorid>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://data.linkedmdb.org/resource/movie/director>,<http://data.linkedmdb.org/resource/movie/director_name>
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/95113>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/96162>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/92998>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/91121>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/84415>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/93001>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/84413>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/92047>,X,,,,,X,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Paul Morris (Director)""",,,X,,X,,X
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/91749>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/93000>,X,,,,,X,
"<http://data.linkedmdb.org/resource/movie/director_directorid>:-:""10846""^^<http://www.w3.org/2001/XMLSchema#int>",,,,X,,,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/84411>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/84416>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/84412>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/92047>,X,,,,,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://data.linkedmdb.org/resource/movie/director>,,,,,X,,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/95114>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/83482>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/92999>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/84414>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/91749>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/91121>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/95113>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/85570>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/96162>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/93002>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/95114>,X,,,,,X,
<http://xmlns.com/foaf/0.1/page>:-:<http://www.freebase.com/view/guid/9202a8c04000641f800000000073a82c>,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://xmlns.com/foaf/0.1/Person>,,,,,X,,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/93000>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/84416>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/92999>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/85570>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/83511>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/92998>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/84412>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/93002>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/93001>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/84415>,X,,,,,X,
"<http://data.linkedmdb.org/resource/movie/director_name>:-:""Paul Morris""",,,X,,,,X
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/84413>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/74508>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/83482>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/83511>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/74508>,X,,,,,X,
<http://xmlns.com/foaf/0.1/made>:-:<http://data.linkedmdb.org/resource/film/84414>,X,,,,,X,
<http://data.linkedmdb.org/resource/movie/director>:-:<http://data.linkedmdb.org/resource/film/84411>,X,,,,,X,
