,<http://dbpedia.org/ontology/followingEvent>,<http://dbpedia.org/ontology/team>,<http://dbpedia.org/ontology/date>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://dbpedia.org/ontology/location>,<http://dbpedia.org/ontology/city>,<http://purl.org/dc/terms/subject>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://xmlns.com/foaf/0.1/name>,<http://dbpedia.org/ontology/previousEvent>,<http://dbpedia.org/ontology/time>
<http://dbpedia.org/ontology/followingEvent>:-:<http://dbpedia.org/resource/2012_Slovak_Cup_Final>,X,,,X,,,X,,X,X,
<http://dbpedia.org/ontology/location>:-:<http://dbpedia.org/resource/Štadión_pod_Čebraťom>,,,,,X,,,,,,
<http://dbpedia.org/ontology/previousEvent>:-:<http://dbpedia.org/resource/2012_Slovak_Cup_Final>,X,,,X,,,X,,X,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/SocietalEvent>,,,,,,,,X,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:ŠK_Slovan_Bratislava_matches>,,X,,,,,X,X,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Slovak_Cup_Finals>,X,,,X,,,X,,X,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/SportsEvent>,,,,,,,,X,,,
"<http://xmlns.com/foaf/0.1/name>:-:""2013 Slovnaft Cup Final""@en",X,,,X,,,X,,X,X,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:MŠK_Žilina_matches>,,X,,,,,X,X,,,
"<http://dbpedia.org/ontology/date>:-:""2013-05-01""^^<http://www.w3.org/2001/XMLSchema#date>",,,X,X,,,,,X,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/Event>,,,,,,,,X,,,
"<http://dbpedia.org/ontology/time>:-:""16:00CEST""",,,,,,,,,,,X
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""2013 Slovak Cup Final""@en",X,,,X,,,X,,X,X,
<http://dbpedia.org/ontology/city>:-:<http://dbpedia.org/resource/Ružomberok>,,,,,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://schema.org/SportsEvent>,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Event>,,,,,,,,X,,,
<http://dbpedia.org/ontology/followingEvent>:-:<http://dbpedia.org/resource/2014_Slovak_Cup_Final>,X,,,X,,,X,,X,X,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Event>,,,,,,,,X,,,
<http://dbpedia.org/ontology/previousEvent>:-:<http://dbpedia.org/resource/2014_Slovak_Cup_Final>,X,,,X,,,X,,X,X,
<http://dbpedia.org/ontology/team>:-:<http://dbpedia.org/resource/MŠK_Žilina>,,X,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/FootballMatch>,,,,,,,,X,,,
<http://dbpedia.org/ontology/team>:-:<http://dbpedia.org/resource/ŠK_Slovan_Bratislava>,,X,,,,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q1656682>,,,,,,,,X,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,,,,,,,,X,,,
